subject_id,task,trial_block,trial_number,shape1,label1,correct_key,participant_response,reaction_time,participant_correct,event_name,image,word,stimulus,category
1,localizer,2,615,,carre,,,,TRUE,word,1.0,0.0,carre,shape
1,localizer,2,616,dinde,,,,,TRUE,image,0.0,1.0,dinde,agent
1,localizer,2,617,,pince,,,,TRUE,word,1.0,0.0,pince,object
1,localizer,2,618,pince,,j,,,FALSE,image,0.0,1.0,pince,object
1,localizer,2,619,,biche,,,,TRUE,word,1.0,0.0,biche,agent
1,localizer,2,620,dinde,,,,,TRUE,image,0.0,1.004,dinde,agent
1,localizer,2,621,,pince,,,,TRUE,word,1.0,0.0,pince,object
1,localizer,2,622,biche,,,,,TRUE,image,0.0,1.0,biche,agent
1,localizer,2,623,,biche,j,j,490.0,TRUE,word,1.0,0.0,biche,agent
1,localizer,2,624,pince,,,,,TRUE,image,0.0,1.0,pince,object
1,localizer,2,625,,losange,,,,TRUE,word,1.0,0.0,losange,shape
1,localizer,2,626,carre,,,,,TRUE,image,0.0,1.0,carre,shape
1,localizer,2,627,,losange,,,,TRUE,word,,0.0,losange,shape
1,localizer,2,628,dinde,,,,,TRUE,image,0.0,1.004,dinde,agent
1,localizer,2,629,,cercle,,,,TRUE,word,1.0,0.0,cercle,shape
1,localizer,2,630,pince,,,,,TRUE,image,0.0,1.0,pince,object
1,localizer,2,631,,cercle,,,,TRUE,word,1.0,0.0,cercle,shape
1,localizer,2,632,cercle,,j,j,414.0,TRUE,image,0.0,1.0,cercle,shape
1,localizer,2,633,,croix,,,,TRUE,word,1.0,0.0,croix,shape
1,localizer,2,634,croix,,j,j,517.0,TRUE,image,0.0,1.0,croix,shape
1,localizer,2,635,,losange,,,,TRUE,word,1.0,0.0,losange,shape
1,localizer,2,636,cercle,,,,,TRUE,image,0.0,1.0,cercle,shape
1,localizer,2,637,,carre,,,,TRUE,word,1.0,0.0,carre,shape
1,localizer,2,638,biche,,,,,TRUE,image,0.0,1.0,biche,agent
1,localizer,2,639,,biche,j,,,FALSE,word,1.004,0.0,biche,agent
1,localizer,2,640,pince,,,j,0.0,FALSE,image,0.0,1.0,pince,object
1,localizer,2,641,,dinde,,,,TRUE,word,1.0,0.0,dinde,agent
1,localizer,2,642,cercle,,,,,TRUE,image,0.0,1.0,cercle,shape
1,localizer,2,643,,lampe,,,,TRUE,word,1.0,0.0,lampe,object
1,localizer,2,644,cercle,,,,,TRUE,image,0.0,1.0,cercle,shape
1,localizer,2,645,,pince,,,,TRUE,word,1.0,0.0,pince,object
1,localizer,2,646,biche,,,,,TRUE,image,0.0,1.0,biche,agent
1,localizer,2,647,,biche,j,j,548.0,TRUE,word,1.004,0.0,biche,agent
1,localizer,2,648,carre,,,,,TRUE,image,0.0,1.0,carre,shape
1,localizer,2,649,,carre,j,j,481.0,TRUE,word,1.0,0.0,carre,shape
1,localizer,2,650,croix,,,,,TRUE,image,0.0,1.0,croix,shape
1,localizer,2,651,,lampe,,,,TRUE,word,1.0,0.0,lampe,object
1,localizer,2,652,biche,,,,,TRUE,image,0.0,1.0,biche,agent
1,localizer,2,653,,lampe,,,,TRUE,word,1.0,0.0,lampe,object
1,localizer,2,654,losange,,,,,TRUE,image,0.0,1.0,losange,shape
1,localizer,2,655,,pince,,,,TRUE,word,1.0,0.0,pince,object
1,localizer,2,656,biche,,,,,TRUE,image,0.0,1.004,biche,agent
1,localizer,2,657,,lampe,,,,TRUE,word,1.0,0.0,lampe,object
1,localizer,2,658,lampe,,j,j,555.0,TRUE,image,0.0,1.0,lampe,object
1,localizer,2,659,,lampe,j,j,602.0,TRUE,word,1.0,0.0,lampe,object
1,localizer,2,660,cercle,,,,,TRUE,image,0.0,1.0,cercle,shape
1,localizer,2,661,,pince,,,,TRUE,word,1.0,0.0,pince,object
1,localizer,2,662,pince,,j,j,739.0,TRUE,image,0.0,1.004,pince,object
1,localizer,2,663,,losange,,,,TRUE,word,1.0,0.0,losange,shape
1,localizer,2,664,cercle,,,,,TRUE,image,0.0,1.0,cercle,shape
1,localizer,2,665,,cercle,j,j,752.0,TRUE,word,1.0,0.0,cercle,shape
1,localizer,2,666,lampe,,,,,TRUE,image,0.0,1.0,lampe,object
1,localizer,2,667,,cercle,,,,TRUE,word,1.0,0.0,cercle,shape
1,localizer,2,668,cercle,,j,j,378.0,TRUE,image,0.0,1.0,cercle,shape
1,localizer,2,669,,losange,,,,TRUE,word,1.0,0.0,losange,shape
1,localizer,2,670,losange,,j,j,350.0,TRUE,image,0.0,1.0,losange,shape
1,localizer,2,671,,pince,,,,TRUE,word,1.004,0.0,pince,object
1,localizer,2,672,losange,,,,,TRUE,image,0.0,1.0,losange,shape
1,localizer,2,673,,cercle,,,,TRUE,word,1.0,0.0,cercle,shape
1,localizer,2,674,cercle,,j,j,538.0,TRUE,image,0.0,1.0,cercle,shape
1,localizer,2,675,,lampe,,,,TRUE,word,1.0,0.0,lampe,object
1,localizer,2,676,croix,,,,,TRUE,image,0.0,,croix,shape
1,localizer,2,677,,lampe,,,,TRUE,word,1.0,0.0,lampe,object
1,localizer,2,678,cercle,,,,,TRUE,image,0.0,1.0,cercle,shape
1,localizer,2,679,,croix,,,,TRUE,word,1.0,0.0,croix,shape
1,localizer,2,680,croix,,j,j,477.0,TRUE,image,0.0,1.0,croix,shape
1,localizer,2,681,,cercle,,,,TRUE,word,1.004,0.0,cercle,shape
1,localizer,2,682,pince,,,,,TRUE,image,0.0,1.0,pince,object
1,localizer,2,683,,dinde,,,,TRUE,word,1.0,0.0,dinde,agent
1,localizer,2,684,dinde,,j,j,544.0,TRUE,image,0.0,1.0,dinde,agent
1,localizer,2,685,,dinde,j,j,657.0,TRUE,word,1.0,0.0,dinde,agent
1,localizer,2,686,lampe,,,,,TRUE,image,0.0,1.0,lampe,object
1,localizer,2,687,,cercle,,,,TRUE,word,1.0,0.0,cercle,shape
1,localizer,2,688,cercle,,j,j,494.0,TRUE,image,0.0,1.0,cercle,shape
1,localizer,2,689,,lampe,,,,TRUE,word,1.004,0.0,lampe,object
1,localizer,2,690,pince,,,,,TRUE,image,0.0,1.0,pince,object
1,localizer,2,691,,croix,,,,TRUE,word,1.0,0.0,croix,shape
1,localizer,2,692,pince,,,,,TRUE,image,0.0,1.0,pince,object
1,localizer,2,693,,cercle,,,,TRUE,word,1.0,0.0,cercle,shape
1,localizer,2,694,lampe,,,,,TRUE,image,0.0,1.0,lampe,object
1,localizer,2,695,,cercle,,,,TRUE,word,1.0,0.0,cercle,shape
1,localizer,2,696,croix,,,,,TRUE,image,0.0,1.0,croix,shape
1,localizer,2,697,,lampe,,,,TRUE,word,1.0,0.0,lampe,object
1,localizer,2,698,losange,,,,,TRUE,image,0.0,1.004,losange,shape
1,localizer,2,699,,dinde,,,,TRUE,word,1.0,0.0,dinde,agent
1,localizer,2,700,dinde,,j,j,736.0,TRUE,image,0.0,1.0,dinde,agent
1,localizer,2,701,,lampe,,,,TRUE,word,1.0,0.0,lampe,object
1,localizer,2,702,cercle,,,,,TRUE,image,0.0,1.0,cercle,shape
1,localizer,2,703,,croix,,,,TRUE,word,1.0,0.0,croix,shape
1,localizer,2,704,cercle,,,,,TRUE,image,0.0,1.004,cercle,shape
1,localizer,2,705,,carre,,,,TRUE,word,1.0,0.0,carre,shape
1,localizer,2,706,losange,,,,,TRUE,image,0.0,1.0,losange,shape
1,localizer,2,707,,carre,,,,TRUE,word,1.0,0.0,carre,shape
1,localizer,2,708,lampe,,,,,TRUE,image,0.0,1.0,lampe,object
1,localizer,2,709,,lampe,j,j,645.0,TRUE,word,1.0,0.0,lampe,object
1,localizer,2,710,biche,,,,,TRUE,image,0.0,1.0,biche,agent
1,localizer,2,711,,carre,,,,TRUE,word,1.0,0.0,carre,shape
1,localizer,2,712,dinde,,,,,TRUE,image,0.0,1.0,dinde,agent
1,localizer,2,713,,biche,,,,TRUE,word,1.004,0.0,biche,agent
1,localizer,2,714,croix,,,,,TRUE,image,0.0,1.0,croix,shape
1,localizer,2,715,,pince,,,,TRUE,word,1.0,0.0,pince,object
1,localizer,2,716,croix,,,,,TRUE,image,0.0,1.0,croix,shape
1,localizer,2,717,,pince,,,,TRUE,word,1.0,0.0,pince,object
1,localizer,2,718,pince,,j,j,589.0,TRUE,image,0.0,1.0,pince,object
1,localizer,2,719,,losange,,,,TRUE,word,1.0,0.0,losange,shape
1,localizer,2,720,losange,,j,j,455.0,TRUE,image,0.0,1.0,losange,shape
1,localizer,2,721,,lampe,,,,TRUE,word,1.004,0.0,lampe,object
1,localizer,2,722,cercle,,,,,TRUE,image,0.0,1.0,cercle,shape
1,localizer,2,723,,lampe,,,,TRUE,word,1.0,0.0,lampe,object
1,localizer,2,724,dinde,,,,,TRUE,image,0.0,,dinde,agent
